0.0000	0.0140	7.569	0.036	0.706
0.0140	0.0280	21.504	0.070	1.232
0.0280	0.0420	12.626	0.053	0.186
0.0420	0.0560	7.543	0.042	0.270
0.0560	0.0700	5.039	0.035	0.095
0.0700	0.0840	3.636	0.031	0.140
0.0840	0.0980	2.759	0.026	0.056
0.0980	0.1120	2.103	0.024	0.104
0.1120	0.1260	1.649	0.021	0.047
0.1260	0.1400	1.364	0.019	0.023
0.1400	0.1540	1.081	0.017	0.043
0.1540	0.1680	0.954	0.016	0.018
0.1680	0.1820	0.739	0.014	0.023
0.1820	0.1960	0.648	0.014	0.030
0.1960	0.2100	0.506	0.012	0.031
0.2100	0.2240	0.418	0.011	0.024
0.2240	0.2380	0.369	0.010	0.031
0.2380	0.2520	0.300	0.009	0.036
0.2520	0.2660	0.200	0.007	0.041
0.2660	0.2800	0.160	0.007	0.034
0.2800	0.2940	0.115	0.006	0.023
0.2940	0.3080	0.076	0.005	0.019
0.3080	0.3220	0.030	0.003	0.014
0.3220	0.3360	0.034	0.005	0.014
0.3360	0.3500	0.007	0.002	0.006
