0.0001	0.0160	4.263	0.024	0.684
0.0160	0.0320	18.067	0.059	1.029
0.0320	0.0480	11.735	0.048	0.132
0.0480	0.0640 	7.183	0.038	0.210
0.0640	0.0800 	4.800	0.032	0.088
0.0800	0.0960 	3.503	0.028	0.095
0.0960	0.1120 	2.630	0.025	0.044
0.1120	0.1280 	2.074	0.022	0.064
0.1280	0.1440 	1.544	0.019	0.081
0.1440	0.1600 	1.287	0.018	0.035
0.1600	0.1760 	1.104	0.016	0.035
0.1760	0.1920 	0.829	0.014	0.041
0.1920	0.2080 	0.751	0.014	0.015
0.2080	0.2240 	0.604	0.013	0.023
0.2240	0.2400 	0.496	0.011	0.023
0.2400	0.2560 	0.402	0.010	0.029
0.2560	0.2720 	0.312	0.009	0.029
0.2720	0.2880 	0.318	0.009	0.042
0.2880	0.3040 	0.202	0.007	0.030
0.3040	0.3200 	0.144	0.006	0.032
0.3200	0.3360 	0.121	0.005	0.025
0.3360	0.3520 	0.066	0.004	0.015
0.3520	0.3680 	0.031	0.003	0.011
0.3680	0.3840 	0.027	0.004	0.014
0.3840	0.4000	0.009	0.002	0.005
