0.0000	0.0180	1.521	0.012	0.521
0.0180	0.0360 	13.544	0.047	0.646
0.0360	0.0540 	11.383	0.045	0.215
0.0540	0.0720 	7.177	0.036	0.126
0.0720	0.0900 	4.886	0.031	0.121
0.0900	0.1080 	3.588	0.027	0.071
0.1080	0.1260 	2.653	0.023	0.089
0.1260	0.1440 	2.149	0.021	0.039
0.1440	0.1620 	1.673	0.019	0.051
0.1620	0.1800 	1.279	0.016	0.069
0.1800	0.1980 	1.113	0.016	0.025
0.1980	0.2160 	0.918	0.014	0.034
0.2160	0.2340 	0.712	0.012	0.030
0.2340	0.2520 	0.631	0.012	0.026
0.2520	0.2700 	0.513	0.011	0.022
0.2700	0.2880 	0.440	0.010	0.022
0.2880	0.3060 	0.349	0.009	0.024
0.3060	0.3240 	0.279	0.008	0.027
0.3240	0.3420 	0.263	0.008	0.034
0.3420	0.3600 	0.170	0.006	0.030
0.3600	0.3780 	0.128	0.005	0.027
0.3780	0.3960 	0.086	0.004	0.018
0.3960	0.4140 	0.048	0.003	0.014
0.4140	0.4320 	0.025	0.003	0.017
0.4320	0.4500	0.028	0.005	0.012
