0.0000	0.0112 	15.377	0.061	0.647
0.0112	0.0224 	27.150	0.089	1.388
0.0224	0.0336 	14.369	0.064	0.361
0.0336	0.0448 	8.226	0.049	0.308
0.0448	0.0560 	5.511	0.041	0.140
0.0560	0.0672 	4.001	0.035	0.115
0.0672	0.0784 	2.984	0.032	0.100
0.0784	0.0896 	2.349	0.027	0.066
0.0896	0.1008 	1.758	0.024	0.049
0.1008	0.1120 	1.465	0.022	0.048
0.1120	0.1232 	1.242	0.021	0.038
0.1232	0.1344 	1.028	0.019	0.034
0.1344	0.1456 	0.832	0.017	0.032
0.1456	0.1568 	0.707	0.016	0.029
0.1568	0.1680 	0.543	0.014	0.036
0.1680	0.1792 	0.494	0.013	0.049
0.1792	0.1904 	0.379	0.012	0.039
0.1904	0.2016 	0.292	0.009	0.048
0.2016	0.2128 	0.201	0.009	0.035
0.2128	0.2240 	0.141	0.008	0.036
0.2240	0.2352 	0.114	0.007	0.027
0.2352	0.2464 	0.058	0.005	0.023
0.2464	0.2576 	0.035	0.004	0.011
0.2576	0.2688 	0.025	0.003	0.007
0.2688	0.2800	0.007	0.002	0.003
