0.03	0.04	7.99	0.89	0.25
0.04	0.05	7.62	0.85	0.28
0.05	0.06	5.14	0.74	0.3
0.06	0.07	4.26	0.66	0.05
0.07	0.08	3.06	0.55	0.15
0.08	0.09	2.39	0.48	0.2
0.09	0.1	3.31	0.54	0.16
0.1	0.12	2.07	0.3	0.13
0.12	0.14	1.68	0.26	0.06
0.14	0.16	1.12	0.23	0.1
0.16	0.18	0.9	0.23	0.1
0.18	0.2	0.75	0.24	0.07
0.2	0.24	0.35	0.16	0.11
0.24	0.28	0.28	0.16	0.04
0.28	0.32	0.27	0.14	0.16
